,gender,driver_id,vetek,age,month,total_income,total_km
0,female,943,0.6,55.8,Jan-15,70216,8900.1
1,female,943,0.6,55.8,Oct-15,77861.2,9091.6
2,female,943,0.6,55.8,Nov-15,71337,9415.8
3,female,943,0.6,55.8,Dec-15,78821.2,9961.8
4,female,943,0.6,55.8,Feb-15,58235.7,8061.2
5,female,943,0.6,55.8,Mar-15,57887.1,7017.9
6,female,943,0.6,55.8,Apr-15,79070.3,9799.8
7,female,943,0.6,55.8,May-15,66387,8533.1
8,female,943,0.6,55.8,Jun-15,85679.9,10469.3
9,female,943,0.6,55.8,Jul-15,67156.1,8386.9
10,female,943,0.6,55.8,Aug-15,51555.1,7225.5
11,female,943,0.6,55.8,Sep-15,54979.2,7224.8
12,male,966,0.1,44.1,Jan-15,69975.4,8512.2
13,male,966,0.1,44.1,Oct-15,63218.4,7875.1
14,male,966,0.1,44.1,Nov-15,67370,8060.2
15,male,966,0.1,44.1,Dec-15,80002.5,9050
16,male,966,0.1,44.1,Feb-15,54979.4,7288.8
17,male,966,0.1,44.1,Mar-15,72811.9,8654.1
18,male,966,0.1,44.1,Apr-15,65259.4,7452.6
19,male,966,0.1,44.1,May-15,69210.6,9872.3
20,male,966,0.1,44.1,Jun-15,62511.7,7049.8
21,male,966,0.1,44.1,Jul-15,65253.1,8018.3
22,male,966,0.1,44.1,Aug-15,68944.6,8444.9
23,male,966,0.1,44.1,Sep-15,66004.4,6870.2
24,male,250,0.1,29.4,Jan-15,70549.2,9366.4
25,male,250,0.1,29.4,Oct-15,61283.7,8182.9
26,male,250,0.1,29.4,Nov-15,75535.7,8593
27,male,250,0.1,29.4,Dec-15,68873.5,8523.7
28,male,250,0.1,29.4,Feb-15,80593.4,9186.4
29,male,250,0.1,29.4,Mar-15,76463,8442.1
30,male,250,0.1,29.4,Apr-15,58358.1,7500.7
31,male,250,0.1,29.4,May-15,72624.1,8954.2
32,male,250,0.1,29.4,Jun-15,62740,7486.6
33,male,250,0.1,29.4,Jul-15,68480.8,9082.9
34,male,250,0.1,29.4,Aug-15,65943.6,7990.4
35,male,250,0.1,29.4,Sep-15,78448.2,9494.3
36,unknown,156,0.7,62.2,Jan-15,71883.9,9203.1
37,unknown,156,0.7,62.2,Oct-15,68981.4,7567.2
38,unknown,156,0.7,62.2,Nov-15,65022.8,9638.8
39,unknown,156,0.7,62.2,Dec-15,60979.1,7702.6
40,unknown,156,0.7,62.2,Feb-15,52350.5,7208.9
41,unknown,156,0.7,62.2,Mar-15,66162.3,8415.7
42,unknown,156,0.7,62.2,Apr-15,78252,7530.2
43,unknown,156,0.7,62.2,May-15,55279.9,7241.6
44,unknown,156,0.7,62.2,Jun-15,72872.9,8956.5
45,unknown,156,0.7,62.2,Jul-15,80518.1,7532.3
46,unknown,156,0.7,62.2,Aug-15,68104.9,8441.8
47,unknown,156,0.7,62.2,Sep-15,68899.8,8401.2
48,male,67,0.4,57.8,Jan-15,62325.3,7541.1
49,male,67,0.4,57.8,Oct-15,59160.7,7932.8
50,male,67,0.4,57.8,Nov-15,69525.2,8823.4
51,male,67,0.4,57.8,Dec-15,53566.2,6576.9
52,male,67,0.4,57.8,Feb-15,73680.9,8171.3
53,male,67,0.4,57.8,Mar-15,66056.6,8931.1
54,male,67,0.4,57.8,Apr-15,80763.9,8798.3
55,male,67,0.4,57.8,May-15,74502.4,9077.3
56,male,67,0.4,57.8,Jun-15,69357.4,9243.1
57,male,67,0.4,57.8,Jul-15,84940.9,9537.2
58,male,67,0.4,57.8,Aug-15,55168.7,8417.3
59,male,67,0.4,57.8,Sep-15,55938.7,8942.4
60,male,684,0.5,,Jan-15,63859.6,9168.2
61,male,684,0.5,,Oct-15,60351.7,7925.5
62,male,684,0.5,,Nov-15,62456.8,7963.1
63,male,684,0.5,,Dec-15,64980.8,8341.8
64,male,684,0.5,,Feb-15,78213.3,9250.7
65,male,684,0.5,,Mar-15,59313.8,8921
66,male,684,0.5,,Apr-15,70041.5,7982
67,male,684,0.5,,May-15,72064.3,8952.9
68,male,684,0.5,,Jun-15,70022.3,8814.5
69,male,684,0.5,,Jul-15,63460,8350.6
70,male,684,0.5,,Aug-15,64175.5,6795
71,male,684,0.5,,Sep-15,80739.2,8670.6
72,male,527,0.4,,Jan-15,81413.2,9500.6
73,male,527,0.4,,Oct-15,73845.8,9732.2
74,male,527,0.4,,Nov-15,69943,9801
75,male,527,0.4,,Dec-15,70739.6,8657
76,male,527,0.4,,Feb-15,70923.6,7869.7
77,male,527,0.4,,Mar-15,76146.5,7811.2
78,male,527,0.4,,Apr-15,75368.9,8620.6
79,male,527,0.4,,May-15,51079.7,8078.3
80,male,527,0.4,,Jun-15,85918.9,8493.1
81,male,527,0.4,,Jul-15,49982.9,7923.6
82,male,527,0.4,,Aug-15,49214.8,7524.7
83,male,527,0.4,,Sep-15,75936.2,9693.9
84,male,556,0.8,48,Jan-15,72807,8859.7
85,male,556,0.8,48,Oct-15,58916.8,8472.1
86,male,556,0.8,48,Nov-15,68958.2,8981.3
87,male,556,0.8,48,Dec-15,77668.2,8876.8
88,male,556,0.8,48,Feb-15,59412,7512.9
89,male,556,0.8,48,Mar-15,81128.1,9832.1
90,male,556,0.8,48,Apr-15,64094.3,7960.1
91,male,556,0.8,48,May-15,61957.5,7885.6
92,male,556,0.8,48,Jun-15,87331.6,9625.6
93,male,556,0.8,48,Jul-15,74358.3,9185.6
94,male,556,0.8,48,Aug-15,69536.8,9278.2
95,male,556,0.8,48,Sep-15,80948.6,10427.7
96,male,446,0.1,46.6,Jan-15,88621.2,10026
97,male,446,0.1,46.6,Oct-15,70770.9,7890.5
98,male,446,0.1,46.6,Nov-15,79938.2,9985.9
99,male,446,0.1,46.6,Dec-15,82838.7,8224.7
100,male,446,0.1,46.6,Feb-15,71103.7,8869.1
101,male,446,0.1,46.6,Mar-15,60604.4,7836.7
102,male,446,0.1,46.6,Apr-15,63972.5,8051.9
103,male,446,0.1,46.6,May-15,69896.3,7589.5
104,male,446,0.1,46.6,Jun-15,89560.1,10131.8
105,male,446,0.1,46.6,Jul-15,71070.4,9184
106,male,446,0.1,46.6,Aug-15,69444.4,8339.3
107,male,446,0.1,46.6,Sep-15,63100.1,8487
108,male,841,0.7,45.6,Jan-15,74191.4,9506.7
109,male,841,0.7,45.6,Oct-15,68348.5,8645
110,male,841,0.7,45.6,Nov-15,63817.8,8002
111,male,841,0.7,45.6,Dec-15,50604,7045.1
112,male,841,0.7,45.6,Feb-15,70325.5,9155.6
113,male,841,0.7,45.6,Mar-15,81858.3,9171.4
114,male,841,0.7,45.6,Apr-15,81680.7,8608.8
115,male,841,0.7,45.6,May-15,83143.7,9565.1
116,male,841,0.7,45.6,Jun-15,53092.6,7593.6
117,male,841,0.7,45.6,Jul-15,64444.1,8518.5
118,male,841,0.7,45.6,Aug-15,66661.9,7178.2
119,male,841,0.7,45.6,Sep-15,82089.1,9503.9
120,male,126,0.7,50.5,Jan-15,67357.5,7485.6
121,male,126,0.7,50.5,Oct-15,59997.9,8666.1
122,male,126,0.7,50.5,Nov-15,75532.5,9241.6
123,male,126,0.7,50.5,Dec-15,54665.7,7231.9
124,male,126,0.7,50.5,Feb-15,75856,9461.7
125,male,126,0.7,50.5,Mar-15,59553,7695.8
126,male,126,0.7,50.5,Apr-15,77772.6,8155.2
127,male,126,0.7,50.5,May-15,64138.8,7692.6
128,male,126,0.7,50.5,Jun-15,59935,9082.9
129,male,126,0.7,50.5,Jul-15,66904.2,8794.1
130,male,126,0.7,50.5,Aug-15,69497.6,7424.1
131,male,126,0.7,50.5,Sep-15,61747.7,7301
132,male,910,0.6,55.6,Jan-15,75111,9076.3
133,male,910,0.6,55.6,Oct-15,64466.4,8663
134,male,910,0.6,55.6,Nov-15,70371.2,8468.1
135,male,910,0.6,55.6,Dec-15,72220.1,9352.4
136,male,910,0.6,55.6,Feb-15,71099.1,9294.1
137,male,910,0.6,55.6,Mar-15,72591.8,8376.7
138,male,910,0.6,55.6,Apr-15,84369.8,9358.8
139,male,910,0.6,55.6,May-15,53364.1,8248
140,male,910,0.6,55.6,Jun-15,50262.7,7139.4
141,male,910,0.6,55.6,Jul-15,62284.7,8116.9
142,male,910,0.6,55.6,Aug-15,83199.3,9765.3
143,male,910,0.6,55.6,Sep-15,77779.9,8152.5
144,male,112,0.9,52.1,Jan-15,79731.1,9563.7
145,male,112,0.9,52.1,Oct-15,83857.7,9615.1
146,male,112,0.9,52.1,Nov-15,62518.7,8718
147,male,112,0.9,52.1,Dec-15,65877.9,7783
148,male,112,0.9,52.1,Feb-15,73735.6,7725.6
149,male,112,0.9,52.1,Mar-15,64898.9,7009.1
150,male,112,0.9,52.1,Apr-15,66303.2,8510.6
151,male,112,0.9,52.1,May-15,71772.4,7795.2
152,male,112,0.9,52.1,Jun-15,72944.6,8628.8
153,male,112,0.9,52.1,Jul-15,80655.3,9593.8
154,male,112,0.9,52.1,Aug-15,66052.2,8309.8
155,male,112,0.9,52.1,Sep-15,56357.5,8620.4
156,male,191,0.1,47.8,Jan-15,63366.8,7384.5
157,male,191,0.1,47.8,Oct-15,64485.5,8470.7
158,male,191,0.1,47.8,Nov-15,76273.6,8446.1
159,male,191,0.1,47.8,Dec-15,65614,8175.8
160,male,191,0.1,47.8,Feb-15,67174.8,10071.2
161,male,191,0.1,47.8,Mar-15,67850.2,8820.3
162,male,191,0.1,47.8,Apr-15,68882,8636.9
163,male,191,0.1,47.8,May-15,53213.3,7824.8
164,male,191,0.1,47.8,Jun-15,70573.4,8816.6
165,male,191,0.1,47.8,Jul-15,78036.6,9325.1
166,male,191,0.1,47.8,Aug-15,72996.3,8440.5
167,male,191,0.1,47.8,Sep-15,67626.5,7370.2
168,male,739,0.6,35,Jan-15,71594.2,8747.3
169,male,739,0.6,35,Oct-15,73922.3,8581.4
170,male,739,0.6,35,Nov-15,55613.4,6745.6
171,male,739,0.6,35,Dec-15,66740,6666.8
172,male,739,0.6,35,Feb-15,70385.4,7297
173,male,739,0.6,35,Mar-15,70556.1,8042.4
174,male,739,0.6,35,Apr-15,47541.9,6608.9
175,male,739,0.6,35,May-15,66082.1,8461.3
176,male,739,0.6,35,Jun-15,65188.5,8750
177,male,739,0.6,35,Jul-15,62350.9,7404
178,male,739,0.6,35,Aug-15,70635.5,9268.7
179,male,739,0.6,35,Sep-15,63014.7,8050.5
180,male,579,0.3,38.3,Jan-15,58943.7,8429.1
181,male,579,0.3,38.3,Oct-15,62785.5,7617.7
182,male,579,0.3,38.3,Nov-15,73749.8,9397.2
183,male,579,0.3,38.3,Dec-15,60072.4,8933.7
184,male,579,0.3,38.3,Feb-15,65872.5,8541.6
185,male,579,0.3,38.3,Mar-15,63163.8,8308.7
186,male,579,0.3,38.3,Apr-15,73443,8780.7
187,male,579,0.3,38.3,May-15,66598.7,9102.2
188,male,579,0.3,38.3,Jun-15,72851.6,9314.7
189,male,579,0.3,38.3,Jul-15,66488.8,7751.1
190,male,579,0.3,38.3,Aug-15,65700.2,7956.6
191,male,579,0.3,38.3,Sep-15,61641.7,7994.1
192,male,111,0.8,42.8,Jan-15,62706.1,8792.4
193,male,111,0.8,42.8,Oct-15,73493.1,9616.8
194,male,111,0.8,42.8,Nov-15,71923.3,9557.8
195,male,111,0.8,42.8,Dec-15,83622.3,8910.3
196,male,111,0.8,42.8,Feb-15,75585,9966.3
197,male,111,0.8,42.8,Mar-15,65361,7997.8
198,male,111,0.8,42.8,Apr-15,85459.1,9097.2
199,male,111,0.8,42.8,May-15,57195.8,8169.4
200,male,111,0.8,42.8,Jun-15,48513,6129.8
201,male,111,0.8,42.8,Jul-15,68502.5,9380.3
